clinic_name,email,location,job_url,sent_date,thread_id,followup_sent,reply,outcome
Langdale Dental,reception@langdaledentists.co.uk,Leeds,https://www.langdaledental.co.uk/,2026-06-24,r-5980198722668617418,,,draft-ready
Briggate Dental Practice,briggatedentalpractice@gmail.com,Leeds,https://www.briggatedental.co.uk/,2026-06-24,r5793785205621544407,,,draft-ready
Teeth at Oakwood,info@teethatoakwood.co.uk,Leeds,https://www.teethatoakwood.co.uk/,2026-06-24,r-6789984679972526515,,,draft-ready
Adel Dental Practice,info@adeldentalpractice.co.uk,Leeds,https://www.adeldentalpractice.co.uk/,2026-06-24,r4337766661107273051,,,draft-ready-guessed
Headingley Dental Care,info@headingleydentalcare.co.uk,Leeds,https://www.headingleydentalcare.co.uk/,2026-06-24,r-9056121146009403410,,,draft-ready-guessed
Far Headingley Dental Care,info@fhdc.co.uk,Leeds,https://www.fhdc.co.uk/,2026-06-24,r7189941291312098523,,,draft-ready-guessed
Smiles on Harrogate Road,info@smilesonharrogateroad.com,Leeds,https://smilesonharrogateroad.com/,2026-06-24,r-8904530675507456029,,,draft-ready-guessed
North Leeds Dental Clinic,info@northleedsdental.com,Leeds,https://www.northleedsdental.com/,2026-06-24,r-7642986428103366268,,,draft-ready-guessed
Chelwood Dental Care,info@chelwooddentalleeds.co.uk,Leeds,https://www.chelwooddentalleeds.co.uk/,2026-06-24,r3184115295218433429,,,draft-ready-guessed
Tracey Black Dental Surgery,info@traceyblackdental.co.uk,Leeds,http://www.traceyblackdental.co.uk/,2026-06-24,r137618213109150183,,,draft-ready-guessed
Horsforth Dental,info@horsforthdental.co.uk,Leeds,https://horsforthdental.co.uk/,2026-06-24,r2903094891274392149,,,draft-ready-guessed
Farsley Dental Practice,info@farsleydental.co.uk,Leeds,https://www.farsleydental.co.uk/,2026-06-24,r4216859792365975669,,,draft-ready-guessed
68 Dental,info@68dental.co.uk,Leeds,https://68dental.co.uk/,2026-06-24,r-3889044939106786859,,,draft-ready-guessed
Leeds Wellness,info@leedswellness.co.uk,Leeds,https://www.leedswellness.co.uk/,2026-06-24,r8488291327989568562,,,draft-ready-guessed
XenSmiles,info@xensmiles.co.uk,Leeds,https://xensmiles.co.uk/,2026-06-24,r-9201756671106860779,,,draft-ready-guessed
Yorkshire Dental Suite,info@yorkshiredentalsuite.co.uk,Leeds,https://www.yorkshiredentalsuite.co.uk/,2026-06-24,r-5676922488402936242,,,draft-ready-guessed
Oakwood Dental Practice,enquries@oakwood-dental.co.uk,Leeds,https://www.oakwood-dental.co.uk/,2026-06-24,r8661755613249612431,,,draft-ready
Maia Dental,info@maiadental.co.uk,Leeds,https://www.maiadental.co.uk/,2026-06-24,r3668894284796879503,,,draft-ready-guessed
Rothwell Dental Care,info@rothwelldentalcare.co.uk,Leeds,https://www.rothwelldentalcare.co.uk/,2026-06-24,r-6047493024498006886,,,draft-ready-guessed
VICI Dental,info@vicidental.com,Leeds,https://vicidental.com/leeds-city-centre-clinic/,2026-06-24,r-3341367559175018029,,,draft-ready-guessed
The Dental Architect,info@thedentalarchitect.com,Leeds,https://thedentalarchitect.com/,2026-06-24,r-1736284496365483727,,,draft-ready-guessed
Primley Park Dental,info@primleypark.com,Leeds,https://www.primleypark.com/,2026-06-24,r5797907413370080157,,,draft-ready-guessed
Vitruvian Dental Studio,info@vitruviandentalstudio.co.uk,Leeds,https://vitruviandentalstudio.co.uk/,2026-06-24,r2974358460418477463,,,draft-ready-guessed
Bridge Street Dental,info@bridgestreetdentalotley.co.uk,Leeds,https://www.bridgestreetdentalotley.co.uk/,2026-06-24,r-7463830551111040465,,,draft-ready-guessed
One Two Three Dental,info@onetwothreedental.com,Leeds,https://onetwothreedental.com/,2026-06-24,r-2803824796864438550,,,draft-ready-guessed
